iter	RMSE
0	0.3647032896
1	0.3631991014
2	0.3621824035
3	0.3613258258
4	0.3600718527
5	0.3592012456
6	0.3579136474
7	0.3569513626
8	0.3556864574
9	0.3544901421
10	0.3536483467
11	0.3524290874
12	0.3516220814
13	0.3505299543
14	0.3497502291
15	0.3486151817
16	0.3479045792
17	0.3474320034
18	0.3462906408
19	0.3451850783
20	0.3440220648
21	0.3432650604
22	0.3425973783
23	0.3418175926
24	0.3411456355
25	0.3403873821
26	0.3393632361
27	0.3384911005
28	0.3373035551
29	0.3365563191
30	0.3358751443
31	0.3349231532
32	0.3342959676
33	0.3329519793
34	0.3323893526
35	0.3313186344
36	0.3303456298
37	0.3295622009
38	0.3289861629
39	0.3283486025
40	0.3277995625
41	0.326636845
42	0.3260865314
43	0.3250079793
44	0.3244327008
45	0.3236480845
46	0.3230222321
47	0.3221526169
48	0.3216217836
49	0.3205289727
50	0.3199914069
51	0.3191001089
52	0.3180173409
53	0.3165919992
54	0.3157644837
55	0.3140533367
56	0.3133455503
57	0.3128374332
58	0.3123232406
59	0.3110731115
60	0.3103969561
61	0.3093992634
62	0.3077456271
63	0.3068734261
64	0.3056150098
65	0.3045923609
66	0.3041270094
67	0.3035812797
68	0.303156755
69	0.302357285
70	0.3012091319
71	0.300469711
72	0.3000551923
73	0.2993319859
74	0.2986996083
75	0.298170077
76	0.2977433405
77	0.296667392
78	0.2962575506
79	0.2958138554
80	0.2947525002
81	0.294108361
82	0.2929815442
83	0.2920231916
84	0.2914291055
85	0.2903151464
86	0.2893798148
87	0.288485494
88	0.288145729
89	0.2872167352
90	0.2863245239
91	0.2856627928
92	0.2850388394
93	0.2841009333
94	0.2837265895
95	0.2833794244
96	0.2828203044
97	0.2824862145
98	0.2815817295
99	0.2809158802
100	0.28050153
101	0.2799936841
102	0.2789945903
103	0.2782656751
104	0.2776012447
105	0.2763757811
106	0.2758501899
107	0.2751479399
108	0.2744713128
109	0.274261033
110	0.2734060437
111	0.273109985
112	0.2727170113
113	0.27195159
114	0.2709542387
115	0.2704616679
116	0.2701355343
117	0.2698441323
118	0.2687555371
119	0.2681082099
120	0.2671957332
121	0.2665311323
122	0.265990433
123	0.2657415365
124	0.2648924622
125	0.2643782315
126	0.2636221251
127	0.2629569756
128	0.2625283204
129	0.2619058616
130	0.2611597244
131	0.2610039641
132	0.2602747129
133	0.25969292
134	0.2592868227
135	0.258342415
136	0.2573562806
137	0.2567482407
138	0.2558405121
139	0.2552270593
140	0.254288287
141	0.2533942303
142	0.2530135448
143	0.2526601092
144	0.2523247918
145	0.2518026384
146	0.2509455234
147	0.2507373255
148	0.2504150861
149	0.2501900153
150	0.2493263561
151	0.2489303628
152	0.248251334
153	0.2480543083
154	0.2472536894
155	0.2470848563
156	0.246873639
157	0.2466339151
158	0.2462411607
159	0.2456226464
160	0.2449298101
161	0.2443274767
162	0.2437438583
163	0.242950144
164	0.2425931549
165	0.2420899544
166	0.2414618378
167	0.2411758307
168	0.2409046287
169	0.2403738272
170	0.2396139105
171	0.2389380945
172	0.2383965314
173	0.2381111799
174	0.237387158
175	0.2367003752
176	0.2360972208
177	0.2355422012
178	0.234866974
179	0.2341750053
180	0.2338310154
181	0.2333967859
182	0.2328503792
183	0.2326203799
184	0.2321766543
185	0.2320372175
186	0.2313832913
187	0.2307813502
188	0.2306273461
189	0.2303998545
190	0.2302067507
191	0.2297064928
192	0.2296034586
193	0.2290898916
194	0.2287307878
195	0.2283759555
196	0.2281678422
197	0.227783848
198	0.2271776662
199	0.2270106539
200	0.2266105474
201	0.2262003985
202	0.2259827467
203	0.2254924475
204	0.2249968847
205	0.2244461228
206	0.2242175639
207	0.2237037731
208	0.2233885054
209	0.2229769578
210	0.2228052025
211	0.2226138258
212	0.2222581473
213	0.2218330781
214	0.2214933027
215	0.2211296844
216	0.220918714
217	0.2207687057
218	0.2206164024
219	0.2203351278
220	0.219708318
221	0.2194089401
222	0.2192316819
223	0.2190481647
224	0.2188678548
225	0.2184413794
226	0.2181721544
227	0.2176179014
228	0.2174122469
229	0.2171175297
230	0.217003013
231	0.2166797118
232	0.2164047163
233	0.2159799994
234	0.2159221997
235	0.215815538
236	0.2156232872
237	0.2154652974
238	0.2153187998
239	0.214889962
240	0.2146886428
241	0.2143687969
242	0.2140268779
243	0.2135703256
244	0.2131821458
245	0.2127156483
246	0.2123455066
247	0.2120804336
248	0.2116900082
249	0.211260854
250	0.2109987474
251	0.2105695323
252	0.2103878596
253	0.2102090642
254	0.210001299
255	0.2097502527
256	0.2094031103
257	0.2089324688
258	0.2085851684
259	0.2085553293
260	0.2083159989
261	0.2079913088
262	0.2078558777
263	0.2077558814
264	0.2076054063
265	0.207333012
266	0.2069313111
267	0.206731523
268	0.2066548976
269	0.2065211078
270	0.2062057629
271	0.2059420362
272	0.2055916007
273	0.2052468308
274	0.2050874351
275	0.204828849
276	0.2047500118
277	0.2044920914
278	0.2043074724
279	0.2040529497
280	0.2037069378
281	0.2035586979
282	0.2032663985
283	0.2030519046
284	0.2028693861
285	0.2026278806
286	0.2025558624
287	0.202190242
288	0.2018816092
289	0.2018374019
290	0.2017605558
291	0.2013755986
292	0.201115985
293	0.2009926726
294	0.2007384681
295	0.2004246236
296	0.2002988995
297	0.1999809395
298	0.1996546627
299	0.1992755358
300	0.1990305985
301	0.1987747256
302	0.1985050841
303	0.1983299079
304	0.1982857178
305	0.1980093575
306	0.1978850093
307	0.1976060195
308	0.1974023687
309	0.197303925
310	0.1970301445
311	0.1969555009
312	0.1968951814
313	0.1968678173
314	0.1966491878
315	0.196312624
316	0.196074504
317	0.1958087437
318	0.1955177036
319	0.195480356
320	0.1953835773
321	0.1952172108
322	0.1949367736
323	0.1947729293
324	0.1945620231
325	0.1944227351
326	0.1941952243
327	0.1937903827
328	0.1936908976
329	0.193402118
330	0.1929111464
331	0.1925419435
332	0.1924823312
333	0.1924440541
334	0.1923766987
335	0.1921092209
336	0.1920356038
337	0.1919421864
338	0.1916505735
339	0.1916301823
340	0.1915952423
341	0.1915315924
342	0.1914475018
343	0.1913674862
344	0.1913549497
345	0.1911015991
346	0.1910011031
347	0.1909947606
348	0.1908711821
349	0.1908435383
350	0.1907531912
351	0.1905480582
352	0.1902750579
353	0.1902363742
354	0.1900237278
355	0.1897937457
356	0.1896479343
357	0.1895732594
358	0.1893821444
359	0.1893434165
360	0.1892963876
361	0.1892533582
362	0.1892160976
363	0.1891255532
364	0.1890243582
365	0.189010687
366	0.1888534068
367	0.1887382439
