iter	Passed	Remaining
0	27	22029
1	57	23040
2	83	22060
3	97	19319
4	135	21552
5	190	25212
6	235	26719
7	278	27527
8	308	27119
9	359	28402
10	402	28845
11	443	29129
12	488	29548
13	528	29686
14	573	30021
15	624	30623
16	674	31061
17	723	31444
18	772	31760
19	818	31937
20	862	31994
21	899	31806
22	936	31629
23	972	31431
24	1008	31251
25	1042	31031
26	1075	30798
27	1110	30620
28	1145	30452
29	1183	30370
30	1216	30167
31	1240	29761
32	1263	29377
33	1289	29047
34	1320	28857
35	1351	28673
36	1382	28503
37	1397	28023
38	1425	27822
39	1456	27666
40	1470	27229
41	1499	27059
42	1528	26906
43	1557	26759
44	1571	26369
45	1602	26271
46	1631	26143
47	1661	26032
48	1684	25816
49	1719	25790
50	1757	25808
51	1807	26000
52	1858	26190
53	1900	26248
54	1935	26210
55	1987	26407
56	2033	26511
57	2052	26252
58	2085	26197
59	2119	26137
60	2158	26143
61	2186	26022
62	2219	25969
63	2250	25875
64	2280	25790
65	2312	25712
66	2326	25448
67	2353	25336
68	2375	25163
69	2404	25072
70	2431	24970
71	2462	24895
72	2494	24841
73	2537	24896
74	2551	24668
75	2581	24590
76	2612	24530
77	2643	24469
78	2659	24267
79	2688	24193
80	2714	24096
81	2735	23956
82	2763	23876
83	2792	23799
84	2821	23730
85	2850	23666
86	2877	23585
87	2906	23518
88	2926	23375
89	2967	23412
90	3003	23402
91	3031	23327
92	3058	23249
93	3087	23189
94	3113	23108
95	3142	23043
96	3163	22925
97	3177	22758
98	3206	22702
99	3237	22664
100	3266	22605
101	3293	22536
102	3324	22494
103	3353	22439
104	3380	22374
105	3408	22317
106	3435	22250
107	3464	22199
108	3495	22156
109	3522	22096
110	3559	22097
111	3591	22060
112	3622	22021
113	3648	21956
114	3675	21895
115	3709	21870
116	3738	21824
117	3775	21820
118	3808	21795
119	3829	21699
120	3858	21650
121	3887	21605
122	3914	21543
123	3942	21495
124	3974	21461
125	4005	21425
126	4029	21351
127	4056	21297
128	4085	21249
129	4113	21202
130	4148	21187
131	4186	21187
132	4216	21146
133	4244	21097
134	4271	21041
135	4300	20995
136	4327	20940
137	4358	20909
138	4386	20858
139	4413	20804
140	4440	20756
141	4472	20725
142	4501	20682
143	4532	20647
144	4560	20602
145	4595	20584
146	4621	20528
147	4651	20491
148	4678	20442
149	4705	20389
150	4734	20347
151	4761	20300
152	4789	20254
153	4818	20211
154	4844	20160
155	4858	20058
156	4880	19987
157	4907	19941
158	4934	19894
159	4968	19875
160	4997	19835
161	5031	19814
162	5064	19790
163	5093	19751
164	5123	19718
165	5154	19687
166	5184	19652
167	5221	19644
168	5251	19608
169	5279	19564
170	5306	19519
171	5332	19469
172	5362	19433
173	5389	19390
174	5415	19340
175	5449	19319
176	5479	19286
177	5505	19239
178	5533	19198
179	5562	19160
180	5585	19102
181	5611	19055
182	5639	19013
183	5666	18968
184	5686	18903
185	5714	18864
186	5742	18822
187	5769	18783
188	5797	18740
189	5822	18694
190	5849	18650
191	5879	18616
192	5892	18533
193	5916	18482
194	5940	18431
195	5965	18383
196	5996	18355
197	6024	18315
198	6050	18273
199	6078	18235
200	6126	18258
201	6168	18260
202	6201	18238
203	6234	18215
204	6263	18180
205	6297	18159
206	6327	18127
207	6356	18091
208	6388	18065
209	6417	18030
210	6447	17998
211	6471	17949
212	6502	17919
213	6529	17880
214	6559	17848
215	6589	17815
216	6619	17783
217	6647	17746
218	6675	17708
219	6706	17680
220	6742	17664
221	6773	17634
222	6805	17608
223	6835	17576
224	6866	17548
225	6898	17520
226	6929	17491
227	6961	17464
228	6987	17424
229	7015	17385
230	7044	17353
231	7094	17369
232	7127	17344
233	7156	17309
234	7180	17263
235	7212	17237
236	7247	17217
237	7276	17183
238	7306	17149
239	7335	17115
240	7349	17047
241	7378	17013
242	7406	16977
243	7434	16941
244	7465	16911
245	7494	16877
246	7526	16850
247	7554	16814
248	7582	16778
249	7613	16749
250	7645	16723
251	7675	16691
252	7702	16653
253	7735	16627
254	7764	16593
255	7792	16558
256	7820	16524
257	7853	16497
258	7881	16462
259	7905	16419
260	7933	16383
261	7961	16348
262	7993	16322
263	8022	16287
264	8052	16256
265	8080	16222
266	8110	16189
267	8139	16158
268	8160	16109
269	8192	16081
270	8222	16051
271	8259	16033
272	8298	16018
273	8325	15983
274	8352	15946
275	8379	15908
276	8408	15876
277	8434	15836
278	8462	15801
279	8489	15765
280	8516	15729
281	8543	15692
282	8572	15660
283	8598	15622
284	8624	15584
285	8648	15543
286	8674	15505
287	8702	15471
288	8729	15435
289	8756	15398
290	8781	15360
291	8807	15323
292	8833	15285
293	8859	15248
294	8884	15209
295	8951	15241
296	8994	15233
297	9022	15199
298	9057	15175
299	9086	15144
300	9112	15107
301	9141	15074
302	9168	15039
303	9194	15001
304	9219	14962
305	9246	14927
306	9276	14897
307	9306	14865
308	9346	14852
309	9379	14825
310	9404	14787
311	9440	14765
312	9474	14740
313	9506	14713
314	9539	14688
315	9571	14660
316	9601	14628
317	9630	14597
318	9656	14560
319	9682	14523
320	9706	14484
321	9730	14444
322	9754	14405
323	9779	14367
324	9804	14329
325	9828	14291
326	9858	14259
327	9883	14222
328	9908	14184
329	9931	14145
330	9956	14107
331	9979	14068
332	10004	14029
333	10028	13991
334	10062	13966
335	10115	13968
336	10158	13957
337	10202	13945
338	10241	13927
339	10286	13916
340	10326	13899
341	10361	13875
342	10393	13847
343	10424	13817
344	10452	13785
345	10483	13755
346	10513	13725
347	10546	13698
348	10576	13667
349	10609	13640
350	10639	13609
351	10668	13577
352	10697	13545
353	10727	13515
354	10757	13484
355	10783	13448
356	10814	13419
357	10845	13390
358	10875	13359
359	10903	13326
360	10931	13293
361	10970	13273
362	11007	13251
363	11046	13231
364	11096	13224
365	11145	13216
366	11178	13188
367	11216	13167
368	11246	13135
369	11274	13102
370	11301	13068
371	11329	13034
372	11361	13006
373	11391	12974
374	11420	12943
375	11451	12913
376	11484	12885
377	11513	12853
378	11541	12820
379	11569	12787
380	11596	12753
381	11626	12722
382	11655	12690
383	11684	12658
384	11716	12629
385	11742	12594
386	11770	12561
387	11797	12527
388	11824	12493
389	11853	12461
390	11882	12429
391	11918	12404
392	11950	12375
393	11976	12341
394	12021	12325
395	12051	12295
396	12088	12271
397	12118	12240
398	12147	12207
399	12177	12177
400	12206	12145
401	12234	12112
402	12265	12082
403	12299	12055
404	12329	12025
405	12356	11991
406	12387	11961
407	12419	11932
408	12455	11907
409	12496	11886
410	12522	11852
411	12551	11820
412	12579	11788
413	12606	11753
414	12636	11723
415	12671	11696
416	12698	11663
417	12727	11631
418	12755	11598
419	12784	11567
420	12812	11534
421	12841	11502
422	12868	11469
423	12897	11437
424	12926	11405
425	12953	11372
426	12980	11338
427	13009	11306
428	13098	11327
429	13144	11310
430	13182	11285
431	13216	11258
432	13275	11251
433	13319	11232
434	13373	11221
435	13429	11211
436	13489	11205
437	13536	11187
438	13570	11159
439	13605	11131
440	13635	11099
441	13670	11072
442	13728	11063
443	13765	11037
444	13797	11007
445	13838	10983
446	13869	10953
447	13901	10922
448	13929	10889
449	13957	10855
450	13988	10825
451	14016	10791
452	14046	10759
453	14076	10728
454	14105	10695
455	14136	10664
456	14163	10630
457	14192	10598
458	14221	10565
459	14250	10533
460	14281	10501
461	14311	10470
